Sample Number:,Group Code:,Species
1,1,Arabica
2,1,Arabica
3,1,Arabica
4,1,Arabica
5,1,Arabica
6,1,Arabica
7,1,Arabica
8,1,Arabica
9,1,Arabica
10,1,Arabica
11,1,Arabica
12,1,Arabica
13,1,Arabica
14,1,Arabica
15,1,Arabica
16,1,Arabica
17,1,Arabica
18,1,Arabica
19,1,Arabica
20,1,Arabica
21,1,Arabica
22,1,Arabica
23,1,Arabica
24,1,Arabica
25,1,Arabica
26,1,Arabica
27,1,Arabica
28,1,Arabica
29,1,Arabica
30,2,Robusta
31,2,Robusta
32,2,Robusta
33,2,Robusta
34,2,Robusta
35,2,Robusta
36,2,Robusta
37,2,Robusta
38,2,Robusta
39,2,Robusta
40,2,Robusta
41,2,Robusta
42,2,Robusta
43,2,Robusta
44,2,Robusta
45,2,Robusta
46,2,Robusta
47,2,Robusta
48,2,Robusta
49,2,Robusta
50,2,Robusta
51,2,Robusta
52,2,Robusta
53,2,Robusta
54,2,Robusta
55,2,Robusta
56,2,Robusta
